run_id,chunking,cleaning,embeddings,k,graph_k,hops,expand_per_node,beta,num_chunks,baseline_hit@1,baseline_hit@3,baseline_hit@5,baseline_mrr,aug_hit@1,aug_hit@3,aug_hit@5,aug_mrr,delta_hit@1,delta_hit@3,delta_hit@5,delta_mrr,run_dir
20260227_101848,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,8,1,4,0.15,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.3939393939393939,0.5757575757575758,0.7272727272727273,0.49797979797979797,0.0,0.030303030303030387,0.09090909090909094,0.020707070707070674,results\runs\graphaug_20260227_101848
20260227_101903,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,8,1,4,0.25,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.5151515151515151,0.6060606060606061,0.7878787878787878,0.5949494949494949,0.12121212121212122,0.06060606060606066,0.1515151515151515,0.1176767676767676,results\runs\graphaug_20260227_101903
20260227_101916,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,8,1,4,0.35,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.36363636363636365,0.6060606060606061,0.696969696969697,0.48737373737373746,-0.030303030303030276,0.06060606060606066,0.06060606060606066,0.010101010101010166,results\runs\graphaug_20260227_101916
20260227_101929,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,8,1,8,0.15,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.3939393939393939,0.5757575757575758,0.7272727272727273,0.49646464646464644,0.0,0.030303030303030387,0.09090909090909094,0.01919191919191915,results\runs\graphaug_20260227_101929
20260227_101941,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,8,1,8,0.25,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.5151515151515151,0.6060606060606061,0.7575757575757576,0.5888888888888889,0.12121212121212122,0.06060606060606066,0.12121212121212122,0.11161616161616161,results\runs\graphaug_20260227_101941
20260227_101954,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,8,1,8,0.35,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.36363636363636365,0.6060606060606061,0.696969696969697,0.48737373737373746,-0.030303030303030276,0.06060606060606066,0.06060606060606066,0.010101010101010166,results\runs\graphaug_20260227_101954
20260227_102010,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,16,1,4,0.15,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.3939393939393939,0.5757575757575758,0.7272727272727273,0.49797979797979797,0.0,0.030303030303030387,0.09090909090909094,0.020707070707070674,results\runs\graphaug_20260227_102010
20260227_102023,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,16,1,4,0.25,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.5151515151515151,0.6060606060606061,0.7878787878787878,0.5949494949494949,0.12121212121212122,0.06060606060606066,0.1515151515151515,0.1176767676767676,results\runs\graphaug_20260227_102023
20260227_102036,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,16,1,4,0.35,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.36363636363636365,0.6060606060606061,0.696969696969697,0.48737373737373746,-0.030303030303030276,0.06060606060606066,0.06060606060606066,0.010101010101010166,results\runs\graphaug_20260227_102036
20260227_102049,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,16,1,8,0.15,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.3939393939393939,0.5757575757575758,0.7272727272727273,0.49646464646464644,0.0,0.030303030303030387,0.09090909090909094,0.01919191919191915,results\runs\graphaug_20260227_102049
20260227_102103,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,16,1,8,0.25,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.5151515151515151,0.6060606060606061,0.7575757575757576,0.5888888888888889,0.12121212121212122,0.06060606060606066,0.12121212121212122,0.11161616161616161,results\runs\graphaug_20260227_102103
20260227_102115,configs\chunking\naive_300_50.yaml,configs\cleaning\deep.yaml,configs\embeddings\bge_small.yaml,5,16,1,8,0.35,97,0.3939393939393939,0.5454545454545454,0.6363636363636364,0.4772727272727273,0.36363636363636365,0.6060606060606061,0.696969696969697,0.48737373737373746,-0.030303030303030276,0.06060606060606066,0.06060606060606066,0.010101010101010166,results\runs\graphaug_20260227_102115
