run_id,chunking_strategy,cleaning,embedder_type,embedder_model,batch_size,chunk_size,overlap,num_chunks,doc_embedding_seconds,query_embedding_seconds,rss_mb_after,rss_mb_peak,gpu_peak_mb,hit@1,hit@3,hit@5,mrr,avg_first_rank,run_dir
20260226_102805,naive_tokens,deep,sentence_transformers,sentence-transformers/all-MiniLM-L6-v2,128,300,100,117,1.8797457001637667,0.04737199982628226,1210.2421875,1210.2421875,-1.0,0.30303030303030304,0.5151515151515151,0.6666666666666666,0.43232323232323233,2.227272727272727,results\runs\embed_20260226_102805
20260226_102830,naive_tokens,deep,sentence_transformers,BAAI/bge-base-en-v1.5,32,300,100,117,17.079293000046164,0.26630520005710423,1624.70703125,1624.70703125,-1.0,0.42424242424242425,0.696969696969697,0.7272727272727273,0.5479797979797979,1.6666666666666667,results\runs\embed_20260226_102830
20260226_102938,naive_tokens,deep,sentence_transformers,BAAI/bge-large-en-v1.5,16,300,100,117,58.11521840002388,1.0421287999488413,2097.65625,2097.65625,-1.0,0.48484848484848486,0.6060606060606061,0.7575757575757576,0.5767676767676767,1.84,results\runs\embed_20260226_102938
20260226_102952,naive_tokens,deep,sentence_transformers,BAAI/bge-small-en-v1.5,64,300,100,117,6.309632499935105,0.07946110004559159,1274.8203125,1274.8203125,-1.0,0.42424242424242425,0.6363636363636364,0.696969696969697,0.5272727272727273,1.7826086956521738,results\runs\embed_20260226_102952
20260226_103006,naive_tokens,deep,sentence_transformers,pritamdeka/S-BioBERT-snli-multinli-stsb,64,300,100,117,3.4077073999214917,0.27140319999307394,979.62890625,979.62890625,-1.0,0.36363636363636365,0.6363636363636364,0.6666666666666666,0.4823232323232324,1.7727272727272727,results\runs\embed_20260226_103006
20260226_103113,naive_tokens,deep,sentence_transformers,intfloat/e5-large-v2,16,300,100,117,58.49986679991707,1.1321151999291033,2099.91015625,2099.91015625,-1.0,0.36363636363636365,0.5757575757575758,0.7272727272727273,0.49797979797979797,2.0833333333333335,results\runs\embed_20260226_103113
20260226_103835,naive_tokens,deep,sentence_transformers,mixedbread-ai/mxbai-embed-large-v1,16,300,100,117,392.72440279996954,4.567372499965131,1229.0625,1229.0625,-1.0,0.42424242424242425,0.5757575757575758,0.696969696969697,0.5237373737373737,1.826086956521739,results\runs\embed_20260226_103835
20260226_103912,naive_tokens,deep,sentence_transformers,nomic-ai/nomic-embed-text-v1.5,64,300,100,117,26.35813910001889,0.3587937999982387,3351.26171875,3351.26171875,-1.0,0.36363636363636365,0.6363636363636364,0.7575757575757576,0.5085858585858585,2.04,results\runs\embed_20260226_103912
20260226_103918,naive_tokens,deep,tfidf,,,300,100,117,0.21267989999614656,0.0008324000518769026,388.76171875,388.76171875,-1.0,0.2727272727272727,0.5151515151515151,0.6060606060606061,0.39343434343434347,2.15,results\runs\embed_20260226_103918
20260226_104832,naive_tokens,deep,sentence_transformers,thenlper/gte-large,32,300,100,117,541.7788088999223,4.218457200098783,1476.85546875,1505.40625,-1.0,0.5757575757575758,0.7575757575757576,0.7878787878787878,0.6626262626262626,1.4615384615384615,results\runs\embed_20260226_104832
