run_id,embedding_config,chunking_config,cleaning_config,k,backend,n_vectors,dim,ingest_time_s,query_p50_ms,query_p95_ms,qps,persist_time_s,reload_time_s,first_query_ms_after_reload,disk_size_mb,rss_before_mb,rss_after_mb,agreement_at_k,flood_concurrency,flood_requests,flood_qps,flood_p50_ms,flood_p95_ms,flood_p99_ms,flood_max_ms,flood_error_rate
20260226_121604,configs\embeddings\bge_base.yaml,configs\chunking\naive_300_100.yaml,configs\cleaning\deep.yaml,5,faiss,117,768,6.140000186860561e-05,0.008400063961744308,0.01251986250281333,78608.8731716164,0.0009788998868316412,0.008168499916791916,0.08750008419156075,0.3428163528442383,1677.5625,1684.94921875,1.0,50,500,15972.042502423325,0.22935005836188793,0.6986198364756975,1.459891938138753,1.9252998754382133,0.0
20260226_121604,configs\embeddings\bge_base.yaml,configs\chunking\naive_300_100.yaml,configs\cleaning\deep.yaml,5,sqlite,117,768,0.0027991998940706253,0.010400079190731049,0.046340096741914666,29377.730991747187,6.600050255656242e-06,0.005186599912121892,1.8973001278936863,0.5106124877929688,1684.94921875,1686.33984375,1.0,50,500,14227.827325850581,0.02350006252527237,0.062225013971328715,1.0939611541107266,3.166399896144867,0.0
20260226_121604,configs\embeddings\bge_base.yaml,configs\chunking\naive_300_100.yaml,configs\cleaning\deep.yaml,5,qdrant,117,768,0.06564819999039173,16.67540008202195,20.513919927179806,61.43883038448197,0.02663800003938377,0.3925872999243438,23.556599859148264,0.0,1686.33984375,1735.484375,1.0,50,500,480.80089896781976,97.55194990430027,114.59915498271576,135.43802408035842,150.49470006488264,0.0
20260226_121604,configs\embeddings\bge_base.yaml,configs\chunking\naive_300_100.yaml,configs\cleaning\deep.yaml,5,LanceDB,117,768,0.01014170004054904,3.546799998730421,5.814079893752932,251.0863289167874,2.600019797682762e-06,0.010253999847918749,3.0975001864135265,0.3452901840209961,1735.484375,1816.62890625,1.0,50,500,915.3775556460197,52.113600075244904,57.9785650013946,61.31146711530164,64.21099998988211,0.0
20260226_121604,configs\embeddings\bge_base.yaml,configs\chunking\naive_300_100.yaml,configs\cleaning\deep.yaml,5,pgvector,117,768,0.12228449992835522,0.6661000661551952,1.468479912728071,1236.8630203415273,0.0006454000249505043,6.819982081651688e-05,-1.0,0.0,1816.62890625,1821.85546875,1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
